# Pflichtmodule
# 1. Semester
InfoPop;
IntroProg;
ROrg;IntroProg;
AnaLina;

# 2. Semester
Sysprog;ROrg;
AlgoDat;IntroProg;
Isda;
ForSa;
DS;AlgoDat;ForSa;AnaLina;

# 3. Semester
Rechnernetze;Sysprog;ROrg;
Swtpp;IntroProg;AlgoDat;
Wire;AnaLina;
BeKo;ForSa;
Logik;ForSa;DS;

# 4. Semester
Stoch;AnaLina;


# 5. Semester
InfGes;

# Shortcuts
Pflichtmodule;

# Wahlpflicht Technische Informatik
Betriebssystempraktikum;Sysprog;AlgoDat;
Digitale Systeme;
Kommunikationsnetze;Sysprog;
Verteilte Systeme;Pflichtmodule;

# Wahlpflicht Theoretische Informatik
AlgoTheo;DS;AlgoDat;
Lmi;Logik;
Reaktive Systeme;ForSa;Logik;BeKo;

# Wahlpflicht Informatik
5G/6G Software Networks;???
AES Bachelor Projekt;ROrg;IntroProg;
Advanced Topics in Networked and Distributed Systems;Network Architectures - Basics; Verteilte Systeme;
Agent Competition: Robo Cup;AnaLina;
Agententechnologien: Grundlagen und Anwendungen;Swtpp;AlgoDat;Logik;
Aktuelle Forschung an Energiewandlern und Energiespeichern;Grundlagen Batterietechnik;
Grundlagen Batterietechnik;
Aktuelle Forschung in KI & Robotik;AnaLina;Wire;Stoch;
Aktuelle Themen der Algorithmik;DS;AlgoTheo;
Aktuelle Themen in visueller Wahrnehmungsforschung;
Aktuelle Themen zu Software and Embedded Systems Engineering;
Aktuelle Themen zu eingebetteten Systemen;Rechnerorganisation;
Architektur eingebetteter Systeme;Digitale Systeme;Glet;ROrg;
Algorithmische Graphentheorie;DS;
Algorithms for Distributed Systems;DS;AlgoDat;Rechnernetze;Verteilte Systeme;Network Architectures -Basics;
Algorithms for Networked Systems;DS;AlgoDat;Rechnernetze;Verteilte Systeme;Network Architectures - Basics;
Ambient Assisted Living;
Analyse von (Online) Social Data: methodologisch eHerausforderungen, soziale Folgen und Grenzen;InfGes;Stoch;Isda;
Angewandte Logiken;Logik;
Angewandte Netzwerktechnologien;Rechnernezte;Verteilte Systeme;
Applied Computer Vision;
Applied Networking Lab;Network Architectures - Basics;
Applied Security Lab;IntroProg;Sysprog;???
Ausgewählte Themen zu Algorithmen un dDatenstrukturen;InfoPop;AlgoDat;
Bachelor Seminar: Operating Complex IT-Systems;???
Biometric Identification;???
Blockchain Prototyping;???
Cloud Prototyping;???
Communication acoustics;
